Corpus: Corpus 2| Search Term: /.*ndult.*/i| Statistic: 03 - MI| Span: 5-5| Collocation freq. threshold: 5.0| Statistic value threshold: 5.0| CPN: 03 - MI/ L5-R5/ C: 5.0-NC: 5.0| 
"Status","Position","Collocate","Stat","Freq (coll.)","Freq (corpus)"
"○","R","concedido","8.099605175203632","16","24"
"○","R","marineros","7.947602465616666","6","10"
"○","L","gozar","7.919033381159485","10","17"
"●","R","concede","7.684567850405652","11","22"
"●","R","perdón","7.637262084971658","15","31"
"○","L","conceder","7.330931055099978","9","23"
"○","L","publique","7.269530416557281","6","16"
"○","R","desertores","7.233906454162891","15","41"
"○","R","general","7.0091901131659196","67","214"
"●","R","perdon","6.968360975714502","14","46"
"○","L","s","6.939140705040907","17","57"
"●","R","piedad","6.9119783592762465","12","41"
"○","L","m","6.591458511445204","15","64"
"●","L","gracia","6.421533510002891","10","48"
"○","L","comprehendidos","6.36263996489551","6","30"
"○","L","nombre","6.032491153825156","7","44"
"○","R","delitos","6.021602865233794","6","38"
"○","R","todos","5.790558595387926","30","223"
"○","L","real","5.630701025017131","46","382"
"○","R","reos","5.625674140415598","6","50"
"○","L","este","5.0095732065663015","22","281"
