"362","527","1","490"
"363","528","8","495"
"364","529","1","490"
"365","532","10","486"
"366","535","12","53"
"367","541","1","540"
"368","541","12","55"
"369","542","1","540"
"372","545","1","544"
"373","545","1","543"
"374","546","1","545"
"375","546","1","544"
"376","546","1","543"
"377","547","1","544"
"378","547","1","543"
"379","547","1","545"
"380","547","1","546"
"381","548","125","543"
"382","549","1","547"
"383","549","1","543"
"384","549","1","544"
"385","549","1","545"
"386","549","1","546"
"387","550","1","549"
"388","553","1","551"
"389","554","1","551"
"390","554","1","553"
"391","555","1","553"
"392","556","1","553"
"393","557","8","556"
"394","558","1","554"
"395","560","14","558"
"396","561","14","560"
"397","561","14","558"
"398","565","14","564"
"399","567","12","398"
"400","567","12","403"
"401","568","27","409"
"402","569","1","409"
"403","570","1","409"
"404","570","1","569"
"405","570","1","568"
"408","571","1","570"
"409","571","1","569"
"410","571","12","409"
"411","571","12","568"
"412","578","12","55"
"413","582","8","579"
"414","593","1","95"
"415","597","10","520"
"416","598","125","231"
"417","602","12","483"
"418","605","1","475"
"419","608","7","607"
"420","616","12","281"
"421","616","12","282"
"422","616","12","617"
"423","616","12","297"
"424","618","8","615"
"425","614","12","36"
"426","619","12","281"
"427","392","12","36"
"428","620","12","36"
"429","621","12","36"
"430","629","12","55"
"431","632","1","6"
"432","634","1","633"
"433","635","12","280"
"434","635","12","483"
"435","635","12","48"
"437","637","1","636"
"438","637","12","483"
"439","636","12","483"
"440","638","1","520"
"441","638","12","483"
"442","638","4","637"
"443","638","45","636"
"444","638","12","602"
"445","640","1","330"
"446","641","1","365"
"447","641","1","165"
"448","641","1","328"
"449","488","8","122"
"450","488","51","54"
"451","642","12","488"
"452","646","12","628"
"453","646","12","357"
"454","646","1","564"
"455","647","1","564"
"456","647","1","565"
"457","650","1","564"
"458","650","1","646"
"459","650","1","647"
"460","650","1","649"
"461","651","1","650"
"462","651","1","646"
"463","651","1","564"
"464","654","1","651"
"465","654","1","650"
"466","654","1","646"
"467","655","1","654"
"468","657","8","564"
"469","657","8","656"
"470","274","1","659"
"471","662","1","661"
"472","663","8","662"
"473","662","12","664"
"474","665","14","662"
"475","665","14","661"
"476","666","14","36"
"477","180","1","140"
"478","667","10","140"
"479","667","10","180"
"480","667","8","536"
"481","612","12","667"
"482","673","115","341"
"483","679","45","674"
"484","682","44","682"
"485","683","44","680"
"486","36","44","680"
"487","684","44","680"
"488","685","1","623"
