"1","5","4","4"
"2","13","50","12"
"3","14","50","13"
"4","17","50","16"
"5","20","13","18"
"6","21","46","18"
"7","21","13","20"
"8","28","13","22"
"9","31","8","30"
"10","35","11","34"
"11","38","1","35"
"12","38","1","34"
"13","39","7","36"
"14","40","103","34"
"15","43","1","42"
"16","44","103","35"
"17","44","103","40"
"18","55","75","47"
"19","56","12","55"
"20","57","12","55"
"21","58","1","57"
"22","2","1","44"
"23","2","1","42"
"24","2","8","75"
"25","82","7","81"
"26","89","12","55"
"27","90","12","55"
"28","91","12","55"
"29","92","12","55"
"30","93","12","55"
"31","94","12","55"
"32","94","75","90"
"33","95","12","55"
"34","96","12","55"
"35","97","12","55"
"36","98","12","55"
"37","101","8","100"
"38","103","12","55"
"39","106","12","55"
"40","107","12","55"
"41","107","76","103"
"42","110","12","55"
"43","111","12","55"
"44","111","1","110"
"45","115","7","114"
"46","122","12","55"
"47","122","12","54"
"48","128","12","127"
"49","129","1","125"
"50","132","4","128"
"51","132","12","127"
"52","133","1","127"
"53","134","8","63"
"54","141","7","136"
"55","142","7","139"
"56","143","12","36"
"57","146","1","62"
"58","147","12","134"
"59","148","1","137"
"60","149","12","148"
"61","167","1","160"
"62","226","1","225"
"63","227","12","36"
"64","232","12","167"
"65","242","8","241"
"66","245","1","241"
"67","248","1","241"
"68","248","1","245"
"69","243","8","242"
"70","249","1","248"
"71","249","1","241"
"72","249","1","245"
"73","250","1","248"
"74","250","1","249"
"75","251","12","249"
"76","253","12","6"
"77","248","12","27"
"78","257","115","248"
"79","258","116","257"
"80","259","115","22"
"81","259","115","26"
"82","259","115","248"
"83","260","115","248"
"84","260","116","250"
"86","260","78","261"
"87","261","1","248"
"88","261","27","249"
"89","261","12","250"
"90","261","14","27"
"91","249","12","27"
"92","262","4","249"
"93","262","1","248"
"95","262","12","263"
"96","264","8","248"
"97","265","115","248"
"98","267","8","248"
"99","268","12","2"
"100","268","12","42"
"101","268","12","44"
"102","268","1","75"
"103","270","115","248"
"104","271","8","261"
"105","273","1","272"
"106","256","8","225"
"107","256","8","226"
"108","256","115","275"
"109","256","115","13"
"110","256","115","14"
"111","256","115","15"
"112","256","115","16"
"113","256","115","17"
"114","256","115","19"
"115","256","115","27"
"116","256","115","28"
"117","276","115","13"
"118","276","115","15"
"119","276","115","275"
"120","276","115","16"
"121","276","115","17"
"122","276","115","19"
"123","276","115","20"
"124","276","115","23"
"125","277","1","275"
"126","276","115","277"
