Corpus: Corpus 6| Search Term: /.*ndult.*/i| Statistic: 03 - MI| Span: 5-5| Collocation freq. threshold: 5.0| Statistic value threshold: 5.0| CPN: 03 - MI/ L5-R5/ C: 5.0-NC: 5.0| 
"Status","Position","Collocate","Stat","Freq (coll.)","Freq (corpus)"
"●","R","generales","8.552722050371177","5","6"
"●","L","conceder","7.815756117223227","7","14"
"●","L","facultad","7.437244467894296","10","26"
"●","R","cuando","5.469981269267452","6","61"
"●","R","todos","5.137684254485216","5","64"
"●","L","un","5.115316405218969","17","221"
